Locality,Type of property,Price,Number of rooms,Living Area,Garden,Swimming pool
Forest,APARTMENT,,1,65,1,0
Marche-en-Famenne Waha,HOUSE,,3,,1,0
Liège Wandre,HOUSE,,5,210,1,0
Libramont-Chevigny,HOUSE,,3,125,1,0
Awans,HOUSE,,4,185,1,0
LA HESTRE,HOUSE,,2,77,1,0
Libin Ochamps,HOUSE,,3,125,1,0
Waterloo,HOUSE,,6,360,1,1
Lasne,HOUSE,,5,220,1,0
Mons,HOUSE,,5,414,1,1
Genval,APARTMENT,,4,145,1,0
GRÂCE-HOLLOGNE,HOUSE,,3,175,1,1
Bertrix,HOUSE,,3,177,1,0
Oostduinkerke,HOUSE,,3,80,1,0
Knokke,APARTMENT,,2,119,1,0
Aubange Athus,HOUSE,,2,141,1,0
Oostduinkerke,HOUSE,,3,80,1,0
Libramont-Chevigny,APARTMENT,,2,79,1,0
Knokke-Heist,HOUSE,,2,130,1,0
Léglise,HOUSE,,6,190,1,0
Schilde,HOUSE,,6,455,1,0
Oostende,HOUSE,,3,170,1,0
Bilzen,HOUSE,,3,149,1,0
GILLY,HOUSE,,2,139,1,0
Uccle,HOUSE,,4,170,1,0
THUILLIES,HOUSE,,3,203,1,0
Brasschaat,HOUSE,,3,300,1,0
Asse,HOUSE,,3,244,1,0
Saint-Nicolas,HOUSE,,3,115,1,0
Knokke,APARTMENT,,2,135,1,0
Aalst (Erembodegem),HOUSE,,3,180,1,0
Vilvoorde,APARTMENT,,2,70,1,0
Koersel,HOUSE,,3,160,1,0
HOUDENG-GOEGNIES,HOUSE,,2,140,1,0
Rixensart,HOUSE,,3,114,1,0
Koersel,HOUSE,,3,185,1,0
Neufchâteau Hamipré,HOUSE,,2,,1,0
Hoeselt,HOUSE,,3,122,1,0
Marloie,HOUSE,,4,,1,0
Bredene,HOUSE,,3,,1,0
